"Car Name","Car Price","Car Mileage","Fuel Consumption","Phone Number","Payment","Address"
"Ford Bronco Sport","$45,114","New","9.3 City / 8.4 Highway","(905) 632-6252","$289/bi-weekly","Available at Go Terrace Ford Lincoln"
"Lincoln Navigator L","$133,245","New","15.2 City / 10.8 Highway","(905) 632-6252","$1,091/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford Edge","$50,245","New","11.5 City / 8.4 Highway","(905) 632-6252","$317/bi-weekly","Available at Go Terrace Ford Lincoln"
"MINI Cooper Hardtop","$8,997","162,000 km","7.3 City / 5.5 Highway","(905) 632-6252","$84/bi-weekly","Available at Go Terrace Ford Lincoln"
"Lincoln Aviator","$80,325","New","13.7 City / 9.7 Highway","(905) 632-6252","$555/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford Bronco Sport","$55,240","New","11.1 City / 9 Highway","(905) 632-6252","$409/bi-weekly","Available at Go Terrace Ford Lincoln"
"Lincoln Aviator","$88,025","New","13.7 City / 9.7 Highway","(905) 632-6252","$608/bi-weekly","Available at Go Terrace Ford Lincoln"
"Lincoln Nautilus","$74,095","New","11.8 City / 9.4 Highway","(905) 632-6252","$504/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford Bronco","$65,885","New","12.1 City / 11.1 Highway","(905) 632-6252","$473/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford Mustang Mach-E","$68,940","New","No Information Found","(905) 632-6252","$487/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford F-150","$78,230","New","12.8 City / 10 Highway","(905) 632-6252","$477/bi-weekly","Available at Go Terrace Ford Lincoln"
"Lincoln Aviator","$82,825","New","13.7 City / 9.7 Highway","(905) 632-6252","$555/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford F-150","$62,005","New","12.5 City / 10.7 Highway","(905) 632-6252","$378/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford F-150","$72,705","New","12.8 City / 10 Highway","(905) 632-6252","$521/bi-weekly","Available at Go Terrace Ford Lincoln"
"Lincoln Aviator","$86,175","New","13.7 City / 9.7 Highway","(905) 632-6252","$595/bi-weekly","Available at Go Terrace Ford Lincoln"
"Subaru Legacy","$20,997","86,300 km","9.3 City / 7 Highway","(905) 632-6252","$196/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford F-150 Lightning","$99,999","New","No Information Found","(905) 632-6252","$696/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford F-150","$76,530","New","12.8 City / 10 Highway","(905) 632-6252","$466/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford Mustang Mach-E","$69,997","22,100 km","No Information Found","(905) 632-6252","$503/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford F-150","$43,960","93,000 km","14.8 City / 10.9 Highway","(905) 632-6252","$316/bi-weekly","Available at Go Terrace Ford Lincoln"
"Chevrolet Equinox","$25,997","51,200 km","9.8 City / 7.9 Highway","(905) 632-6252","$243/bi-weekly","Available at Go Terrace Ford Lincoln"
